Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1,Luka Dončić,26.0,LAL,PG,11.0,11.0,36.8,10.6,22.5,0.472,3.5,10.9,0.317,7.2,11.6,0.617,0.548,9.9,12.5,0.79,0.8,7.7,8.5,9.0,1.9,0.5,4.1,2.6,34.6,
2,Shai Gilgeous-Alexander,27.0,OKC,PG,16.0,16.0,33.4,10.8,20.4,0.529,2.2,5.7,0.385,8.6,14.8,0.585,0.583,8.2,9.1,0.897,0.5,4.6,5.1,6.5,1.5,0.9,1.8,1.8,32.0,
3,Tyrese Maxey,25.0,PHI,PG,14.0,14.0,40.3,10.6,22.9,0.461,3.9,9.3,0.423,6.6,13.6,0.487,0.547,6.9,7.8,0.881,0.4,4.4,4.7,7.8,1.5,0.8,2.6,2.4,31.9,
4,Giannis Antetokounmpo,31.0,MIL,PF,13.0,13.0,31.8,12.0,19.1,0.629,0.7,1.4,0.5,11.3,17.7,0.639,0.647,6.5,10.2,0.636,3.7,7.2,10.8,6.8,0.9,1.2,3.5,2.6,31.2,
5,Lauri Markkanen,28.0,UTA,PF,14.0,14.0,35.9,10.4,21.5,0.485,3.7,9.6,0.385,6.7,11.9,0.566,0.571,6.1,6.9,0.885,2.3,3.8,6.1,2.1,1.0,0.5,1.4,2.1,30.6,
6,Donovan Mitchell,29.0,CLE,SG,14.0,14.0,34.1,10.2,20.1,0.507,3.9,10.2,0.385,6.3,9.9,0.633,0.605,5.9,7.1,0.828,0.7,3.8,4.5,5.3,1.5,0.4,3.3,2.3,30.2,
7,Nikola Jokić,30.0,DEN,C,14.0,14.0,34.5,10.9,16.9,0.641,1.9,4.6,0.4,9.0,12.3,0.733,0.696,5.6,6.5,0.857,3.1,10.1,13.2,11.1,1.7,0.8,3.6,2.9,29.1,
8,Austin Reaves,27.0,LAL,SG,12.0,12.0,36.1,8.5,17.3,0.49,2.6,7.9,0.326,5.9,9.4,0.628,0.565,8.5,9.8,0.872,0.7,4.4,5.1,7.6,1.3,0.1,3.4,2.5,28.1,
9,Jalen Brunson,29.0,NYK,PG,12.0,12.0,34.0,9.8,21.0,0.468,2.8,7.6,0.363,7.1,13.4,0.528,0.534,5.6,6.6,0.848,0.4,3.1,3.5,6.4,0.8,0.1,2.6,2.8,28.0,
10,Stephen Curry,37.0,GSW,PG,13.0,13.0,30.8,8.9,19.2,0.464,4.5,11.5,0.389,4.5,7.8,0.574,0.58,5.6,6.2,0.913,0.2,3.4,3.6,4.1,1.5,0.4,2.8,2.2,27.9,
