RNK,Value,Name,Status,G,M,PTS,TPM,REB,AST,STL,BLK,TOV,FG%,FGA,FT%,FTA,zPTS,zTPM,zAST,zREB,zSTL,zBLK,zTOV,zFG%,zFT%
1,2.16,Victor Wembanyama,,72,33.5,27.3,3.39,11.78,4.38,1.27,3.85,3.12,49%,19.52,83%,5.93,2.69,2.46,1.18,3.28,1.49,8.06,-2.38,0.86,1.79
2,1.97,Nikola Jokić,,72,35.4,27.8,1.98,11.72,10.36,1.72,0.7,3.17,58%,17.97,81%,6.34,2.76,0.93,4.38,3.26,2.62,0.63,-2.44,4.27,1.32
3,1.91,Shai Gilgeous-Alexander,,74,32.5,32.1,2.05,4.82,6.52,1.59,1,2.26,51%,21.21,90%,9.12,3.41,1.01,2.33,0.43,2.29,1.33,-1.33,1.85,5.85
4,1.4,Luka Dončić,,72,35.4,30.6,3.73,7.87,8.64,1.87,0.45,3.76,48%,21.13,79%,8.69,3.19,2.83,3.46,1.68,3,0.04,-3.16,0.48,1.05
5,1.17,Anthony Davis,,64,33.2,24,0.97,9.73,4.31,1.07,2.25,2.76,50%,17.52,78%,6.96,2.19,-0.17,1.14,2.44,0.98,4.28,-1.94,1.14,0.48
6,1.17,Stephen Curry,,65,32.6,25.2,4.56,4.54,5.95,1,0.4,2.74,46%,17.92,94%,4.44,2.37,3.74,2.02,0.32,0.81,-0.08,-1.91,-0.38,3.61
7,1.12,Kevin Durant,Status$,65,26.1,26,2.96,5.3,4.59,0.83,0.91,3.01,52%,18.03,87%,5.07,2.49,2,1.29,0.63,0.38,1.12,-2.24,1.95,2.46
8,1.08,Karl-Anthony Towns,Status$,71,33.1,23.5,2,10.58,2.95,0.96,0.69,2.67,53%,16.14,84%,5.37,2.11,0.96,0.41,2.79,0.71,0.6,-1.83,2.09,1.86
9,1.05,Cade Cunningham,,75,35.1,27.5,2.34,5.7,9.34,1.08,0.73,4.17,48%,20.94,85%,5.78,2.72,1.33,3.83,0.79,1.01,0.7,-3.66,0.47,2.29
10,1.03,Evan Mobley,,74,31.6,19.6,1.61,9.76,3.66,0.89,1.77,2.11,55%,13.33,73%,4.58,1.52,0.53,0.79,2.45,0.53,3.15,-1.14,2.29,-0.82
11,1.02,Devin Booker,Status$,73,35.4,29.1,2.97,4.78,8,0.88,0.3,3.85,47%,21.12,88%,6.89,2.96,2.01,3.12,0.42,0.5,-0.32,-3.27,0.02,3.73
12,1.02,Donovan Mitchell,Status$,69,31.4,26.1,3.34,4.63,5.55,1.26,0.27,2.32,46%,18.77,86%,6.24,2.51,2.42,1.81,0.36,1.46,-0.39,-1.4,-0.39,2.77
13,1,Anthony Edwards,,79,36.5,28.5,4.28,5.51,4.62,1.13,0.66,3.24,45%,20.54,84%,6.89,2.87,3.43,1.31,0.72,1.13,0.53,-2.52,-0.87,2.43
14,0.99,Jalen Williams,,71,32.4,23.3,1.95,5.38,5.43,1.66,0.69,2.28,49%,17.33,81%,5.18,2.08,0.9,1.74,0.66,2.47,0.6,-1.35,0.75,1.05
15,0.98,Tyrese Maxey,Status$,71,38.7,25.7,3.36,3.35,6.32,1.62,0.39,2.43,43%,20.23,88%,5.43,2.44,2.44,2.22,-0.17,2.37,-0.1,-1.53,-1.73,2.91
16,0.98,James Harden,Status$,74,34.6,21.2,2.99,5.53,8.1,1.34,0.7,3.79,42%,14.74,88%,6.72,1.76,2.03,3.17,0.72,1.66,0.63,-3.2,-1.59,3.64
17,0.98,Joel Embiid,,32,27.4,22.4,1.37,7.99,4.24,0.72,1.01,3.09,47%,14.23,88%,8.52,1.95,0.27,1.1,1.73,0.1,1.36,-2.34,-0.01,4.65
