,PLAYER,PTS,FGM,FGA,FG%,FTA,FTM,FT%,3PM,REB,AST,STL,BLK,TO
0,Precious Achiuwa,12.8,5.3,10.6,0.501,2.5,1.6,0.637,0.6,10.0,2.0,1.2,1.3,1.6
1,Steven Adams,11.3,4.5,8.5,0.532,4.1,1.9,0.479,0.3,13.6,3.1,1.0,1.2,2.4
2,Bam Adebayo,19.5,7.5,15.0,0.5,4.8,3.7,0.767,0.8,10.1,4.3,1.3,0.8,2.3
3,Ochai Agbaji,13.1,5.1,10.8,0.475,1.3,0.9,0.722,1.9,5.0,2.1,1.1,0.7,1.2
4,Santi Aldama,16.7,6.3,13.3,0.475,2.2,1.5,0.696,2.5,8.5,3.6,1.1,0.8,1.5
5,Trey Alexander,14.4,5.4,13.0,0.419,2.4,1.9,0.783,1.6,5.5,3.8,1.0,0.6,1.8
6,Nickeil Alexander-Walker,13.4,4.7,10.7,0.443,1.9,1.5,0.778,2.4,4.3,3.9,1.0,0.7,1.7
7,Grayson Allen,15.1,5.0,10.8,0.464,2.4,2.0,0.84,3.1,4.5,3.2,1.1,0.5,1.6
8,Jarrett Allen,17.6,7.2,10.8,0.666,4.3,3.2,0.731,0.1,12.0,2.7,1.1,1.2,1.6
9,Jose Alvarado,15.1,5.4,13.3,0.405,2.0,1.6,0.782,2.8,4.1,5.9,1.9,0.4,2.0
10,Kyle Anderson,11.9,4.7,10.0,0.467,2.6,1.9,0.727,0.7,6.5,5.8,1.4,1.1,1.7
11,Giannis Antetokounmpo,31.2,11.9,20.1,0.593,10.9,6.9,0.632,0.4,12.0,6.6,1.0,1.1,3.4
12,Cole Anthony,18.6,6.7,15.2,0.439,3.8,3.1,0.833,2.1,6.2,5.2,1.3,0.8,2.6
13,OG Anunoby,17.2,6.4,13.3,0.478,2.7,2.2,0.803,2.2,4.8,2.3,1.5,0.8,1.5
14,Deni Avdija,18.9,6.5,13.3,0.488,5.3,4.1,0.772,1.8,8.7,4.6,1.1,0.6,2.9
15,Deandre Ayton,18.3,8.3,14.5,0.567,2.0,1.5,0.743,0.2,11.8,2.0,1.0,1.0,2.0
16,Marcus Bagley,12.7,4.9,11.2,0.435,2.2,1.7,0.793,1.2,8.8,2.5,1.3,1.3,1.4
17,Marvin Bagley III,19.1,7.7,14.0,0.549,4.2,3.1,0.737,0.6,10.2,2.0,0.9,1.1,1.9
18,Patrick Baldwin Jr.,15.5,5.6,12.4,0.451,2.2,1.6,0.713,2.8,8.1,2.5,1.2,0.9,1.6
19,LaMelo Ball,27.2,9.4,22.4,0.42,5.1,4.4,0.847,4.0,5.8,8.2,1.4,0.3,3.8
20,Lonzo Ball,13.2,4.5,11.6,0.387,1.6,1.3,0.802,2.9,5.7,5.1,2.0,0.8,1.9
21,Mo Bamba,13.3,5.0,10.4,0.478,2.6,1.8,0.707,1.5,11.1,2.2,0.9,2.4,1.8
22,Paolo Banchero,24.9,8.7,18.8,0.461,7.9,5.8,0.737,1.8,7.6,5.1,0.9,0.6,3.0
23,Desmond Bane,22.4,8.3,17.2,0.48,3.5,3.1,0.882,2.9,6.3,5.8,1.2,0.5,2.7
24,Dalano Banton,18.4,6.6,16.3,0.405,4.0,3.0,0.751,2.2,5.1,4.8,1.3,1.0,2.6
25,Dominick Barlow,14.3,5.6,10.8,0.52,3.2,2.3,0.696,0.8,8.5,2.7,1.0,1.3,0.9
26,Harrison Barnes,15.9,5.4,11.1,0.487,3.4,2.7,0.81,2.3,4.6,2.0,0.7,0.2,0.9
27,Scottie Barnes,20.5,7.7,16.7,0.463,4.6,3.6,0.77,1.4,8.3,6.2,1.4,1.2,2.8
28,RJ Barrett,23.0,8.6,17.9,0.478,5.8,3.9,0.676,2.0,6.7,5.0,0.8,0.4,2.8
29,Charles Bassey,15.0,6.3,10.9,0.575,2.8,1.9,0.686,0.5,12.6,2.7,1.3,2.4,2.3
30,Emoni Bates,16.3,5.9,14.4,0.41,2.0,1.5,0.729,3.0,5.3,3.8,0.8,0.7,1.8
31,Jamison Battle,15.1,5.4,12.1,0.443,1.0,0.8,0.844,3.5,5.7,2.2,0.7,0.4,1.1
32,Nicolas Batum,8.6,3.0,6.9,0.434,0.8,0.6,0.766,2.1,5.8,2.6,1.2,0.9,1.0
33,Damion Baugh,12.7,4.8,12.8,0.375,2.0,1.7,0.826,1.5,5.5,5.0,1.4,0.4,2.7
34,Bradley Beal,19.5,7.5,15.1,0.497,3.0,2.5,0.808,2.1,4.2,4.6,1.1,0.6,2.4
35,Malik Beasley,18.4,6.4,15.0,0.43,1.7,1.2,0.695,4.3,4.0,2.1,1.1,0.1,1.2
36,MarJon Beauchamp,15.1,5.5,12.1,0.456,2.7,2.0,0.744,2.0,7.0,2.5,0.9,0.4,2.2
37,Reece Beekman,9.9,3.7,9.5,0.386,2.1,1.6,0.774,0.9,4.0,4.7,2.2,0.3,1.7
38,Goga Bitadze,12.9,5.2,8.8,0.594,3.3,2.2,0.654,0.2,11.1,3.4,1.2,2.4,1.8
39,Bismack Biyombo,10.2,4.4,8.0,0.55,2.3,1.1,0.489,0.3,9.7,2.5,0.9,1.7,1.9
40,Anthony Black,13.6,4.9,11.0,0.444,3.5,2.6,0.748,1.3,4.6,4.3,1.5,0.9,2.4
41,Bogdan Bogdanović,17.5,6.2,14.6,0.426,2.1,1.9,0.886,3.1,4.2,3.8,1.2,0.4,1.8
42,Bol Bol,17.8,7.1,13.1,0.542,2.3,1.8,0.775,1.9,8.9,2.0,0.8,1.8,1.9
43,Adem Bona,14.3,5.6,8.6,0.657,3.9,2.7,0.695,0.3,9.5,1.6,1.1,2.5,2.3
44,Devin Booker,25.3,8.7,18.5,0.471,6.3,5.6,0.886,2.3,4.2,6.7,0.9,0.3,2.8
45,Brandon Boston Jr.,16.9,6.3,14.2,0.442,3.2,2.5,0.779,1.8,5.2,3.2,1.7,0.4,2.0
46,Chris Boucher,18.8,6.7,13.8,0.488,3.9,3.0,0.772,2.3,9.3,1.5,1.0,1.1,1.3
47,Jamaree Bouyea,13.7,5.2,11.2,0.46,2.7,2.0,0.748,1.4,5.8,4.3,1.3,0.7,2.8
48,Tony Bradley,18.0,7.4,13.7,0.541,2.7,1.8,0.662,1.4,9.4,3.1,1.0,1.6,1.9
49,Malaki Branham,17.2,6.6,14.5,0.456,2.0,1.7,0.838,2.3,4.1,3.5,0.8,0.2,2.2
50,Christian Braun,15.7,6.1,10.9,0.554,2.9,2.3,0.794,1.3,5.9,2.8,1.1,0.6,1.1
51,Jalen Bridges,16.3,5.7,12.5,0.457,3.5,2.7,0.779,2.1,6.4,3.4,1.1,0.6,2.5
52,Mikal Bridges,18.3,7.0,14.8,0.475,2.5,2.0,0.826,2.2,3.8,3.6,1.0,0.5,1.7
53,Miles Bridges,21.8,8.1,18.1,0.445,3.9,3.3,0.855,2.4,7.9,4.0,0.8,0.7,2.2
54,Oshae Brissett,13.4,4.6,10.3,0.448,4.3,2.8,0.658,1.4,7.6,2.3,1.1,0.6,1.5
55,Malcolm Brogdon,19.3,6.8,15.3,0.443,4.4,3.8,0.85,2.0,5.5,6.0,0.9,0.3,2.2
56,Dillon Brooks,15.7,5.7,13.4,0.425,2.1,1.7,0.819,2.5,4.2,2.1,1.0,0.2,1.3
57,Keion Brooks Jr.,16.1,6.0,12.3,0.485,3.3,2.5,0.753,1.7,6.5,2.3,1.1,1.0,1.6
58,Bruce Brown,14.0,5.3,11.8,0.455,2.6,2.1,0.807,1.2,5.8,3.6,1.2,0.5,1.7
59,Jaylen Brown,23.8,9.0,18.8,0.477,5.0,3.8,0.747,2.1,6.2,4.3,1.2,0.4,2.7
60,Kobe Brown,11.4,4.6,10.1,0.454,1.3,1.0,0.752,1.3,7.2,3.1,1.1,0.6,1.5
61,Moses Brown,18.2,7.5,13.2,0.568,4.5,2.5,0.56,0.8,11.7,2.0,1.2,1.1,2.4
62,Jalen Brunson,26.7,9.4,19.5,0.483,6.6,5.5,0.829,2.5,3.4,7.0,0.9,0.2,2.5
63,Thomas Bryant,16.8,6.4,12.2,0.527,2.9,2.4,0.832,1.5,9.6,2.1,1.0,1.4,1.3
64,Kobe Bufkin,16.3,6.1,14.3,0.426,3.5,2.5,0.732,1.7,6.4,4.6,1.1,0.8,2.0
65,Alec Burks,17.3,5.5,13.7,0.401,3.5,2.9,0.822,3.4,5.0,2.7,1.0,0.3,1.4
66,Jared Butler,18.2,6.9,14.8,0.463,3.0,2.5,0.829,2.0,4.1,7.3,1.5,0.5,2.7
67,Jimmy Butler,20.6,6.5,13.2,0.497,7.9,6.6,0.843,0.8,5.9,5.6,1.5,0.4,1.7
68,Matas Buzelis,16.9,6.2,13.2,0.469,2.7,2.2,0.819,2.3,6.8,2.1,0.8,1.7,1.7
69,Jamal Cain,14.7,5.2,11.6,0.449,3.5,2.5,0.722,1.8,6.2,2.0,1.5,0.7,1.6
70,Kentavious Caldwell-Pope,11.2,4.0,8.9,0.446,1.7,1.4,0.859,1.8,2.9,2.4,1.5,0.6,1.1
71,Toumani Camara,12.4,4.6,10.0,0.463,1.9,1.4,0.742,1.8,6.6,2.4,1.6,0.7,1.6
72,Vlatko Čančar,12.2,4.5,10.0,0.455,1.8,1.5,0.825,1.6,6.7,3.2,1.0,0.6,2.2
73,Clint Capela,15.5,6.7,11.9,0.564,3.3,2.0,0.597,0.1,14.0,1.9,1.0,1.7,1.4
74,Branden Carlson,17.6,6.3,13.8,0.457,2.9,2.3,0.782,2.8,7.4,2.8,0.9,2.1,1.5
75,Bub Carrington,12.5,4.7,11.0,0.422,1.4,1.1,0.817,2.1,5.3,5.4,0.8,0.3,2.0
76,Devin Carter,14.1,4.9,12.0,0.412,3.8,2.5,0.648,1.8,6.9,3.9,1.7,0.5,1.7
77,Jevon Carter,14.4,5.4,13.5,0.396,1.0,0.8,0.768,2.9,3.7,3.8,1.3,0.5,1.4
78,Wendell Carter Jr.,14.3,5.2,10.7,0.488,3.6,2.6,0.733,1.1,9.9,2.8,1.0,0.8,1.7
79,D.J. Carton,14.6,5.3,12.0,0.439,3.1,2.5,0.8,1.6,6.1,3.8,1.3,0.6,2.3
80,Alex Caruso,12.7,4.6,10.0,0.454,1.8,1.4,0.792,2.1,5.2,4.5,2.4,1.1,1.6
81,Stephon Castle,20.2,7.2,16.2,0.444,5.6,4.1,0.737,1.7,5.2,5.6,1.3,0.4,2.8
82,Colin Castleton,12.4,4.6,9.6,0.479,3.2,2.5,0.785,0.7,9.2,2.8,0.8,0.8,1.9
83,Julian Champagnie,14.9,5.0,11.8,0.426,2.0,1.7,0.87,3.1,5.8,2.3,1.2,0.8,1.4
84,Justin Champagnie,15.0,5.7,11.4,0.505,2.1,1.5,0.715,2.0,9.2,2.0,1.7,1.1,1.5
85,Ulrich Chomche,15.6,5.8,12.0,0.478,3.1,2.4,0.758,1.7,7.2,3.8,1.1,0.8,2.1
86,Cam Christie,15.9,5.9,13.6,0.434,3.1,2.3,0.734,1.9,7.0,4.0,1.8,0.7,1.8
87,Max Christie,12.8,4.4,9.9,0.442,2.5,2.1,0.847,1.9,4.8,2.6,1.0,0.6,1.4
88,Josh Christopher,16.8,6.5,14.4,0.453,3.1,2.4,0.755,1.4,5.1,3.8,1.6,0.9,2.5
89,Sidy Cissoko,14.0,5.3,11.1,0.476,3.3,2.2,0.67,1.3,6.6,4.0,1.2,0.6,2.2
90,Jaylen Clark,12.8,4.5,9.5,0.475,2.7,2.2,0.788,1.7,4.4,2.4,2.2,0.3,0.9
91,Brandon Clarke,16.4,7.1,11.7,0.603,2.8,2.0,0.698,0.2,9.4,2.2,1.5,1.1,1.4
92,Jordan Clarkson,21.1,7.4,17.8,0.414,4.7,3.8,0.824,2.5,4.4,5.3,0.9,0.3,3.2
93,Nic Claxton,14.4,6.3,10.5,0.594,3.2,1.7,0.546,0.2,10.6,2.8,1.1,2.2,1.6
94,Donovan Clingan,12.8,5.2,9.6,0.542,2.9,1.8,0.633,0.6,13.8,2.4,1.0,2.8,1.9
95,Noah Clowney,15.0,5.0,12.3,0.403,2.9,2.4,0.819,2.7,6.7,1.8,0.9,0.9,1.6
96,Amir Coffey,13.6,4.7,10.1,0.468,2.5,2.2,0.871,1.9,3.6,1.9,0.9,0.2,1.0
97,Isaiah Collier,12.8,4.8,11.0,0.44,3.1,2.2,0.703,0.9,4.9,8.6,1.3,0.4,3.8
98,John Collins,20.1,7.6,14.5,0.524,4.0,3.3,0.824,1.6,9.7,2.0,1.0,1.2,2.3
99,Yuri Collins,16.1,6.0,12.7,0.469,3.0,2.3,0.785,1.9,6.7,4.5,1.5,0.7,1.9
100,Zach Collins,16.7,6.3,12.8,0.496,3.3,2.7,0.808,1.3,9.6,4.3,1.0,1.1,2.6
101,Mike Conley,12.9,4.3,10.2,0.417,2.0,1.8,0.879,2.6,3.7,6.7,1.5,0.3,1.7
102,Pat Connaughton,11.3,4.1,9.4,0.441,1.6,1.2,0.757,1.8,5.9,3.5,0.8,0.5,1.3
103,Bilal Coulibaly,13.3,4.8,10.9,0.442,3.3,2.4,0.748,1.3,5.6,3.4,1.4,0.9,2.1
104,Ricky Council IV,16.3,5.5,13.3,0.409,4.7,3.8,0.797,1.6,6.3,2.9,1.0,0.4,1.5
