PLAYER,G,MPG,PTS,FGM,FGA,FG%,FTA,FTM,FT%,3PM,REB,AST,STL,BLK,TO
Luka Dončić,18.0,37.2,35.0,10.8,23.0,0.471,12.2,9.8,0.804,3.6,9.0,9.0,1.5,0.6,4.3
Shai Gilgeous-Alexander,25.0,33.2,32.4,10.8,19.4,0.56,9.7,8.6,0.884,2.2,4.6,6.4,1.4,0.7,1.9
Tyrese Maxey,23.0,39.9,31.5,10.7,22.9,0.467,7.3,6.4,0.881,3.7,4.7,7.2,1.7,0.9,2.7
Donovan Mitchell,24.0,34.4,31.3,10.9,21.5,0.505,6.3,5.3,0.842,4.2,4.8,5.4,1.4,0.3,3.4
Nikola Jokić,24.0,34.7,29.5,10.6,17.1,0.622,7.2,6.1,0.85,2.1,12.3,10.9,1.4,0.8,3.4
Jaylen Brown,24.0,33.5,29.1,10.7,21.4,0.499,7.2,5.7,0.791,2.1,6.1,4.8,1.1,0.4,3.6
Giannis Antetokounmpo,17.0,29.1,28.9,11.1,17.3,0.639,9.8,6.2,0.635,0.6,10.1,6.1,0.9,0.9,3.3
Jalen Brunson,23.0,35.1,28.8,10.2,21.0,0.487,6.7,5.6,0.838,2.8,3.1,6.4,0.7,0.1,2.3
Anthony Edwards,20.0,34.4,28.7,9.7,19.3,0.5,7.2,6.0,0.833,3.4,4.9,3.8,1.2,0.8,3.0
Stephen Curry,17.0,31.1,28.5,9.4,19.9,0.473,5.5,4.9,0.903,4.8,3.8,4.1,1.2,0.5,3.1
Austin Reaves,21.0,36.9,27.8,8.5,16.9,0.503,9.1,8.0,0.875,2.8,5.6,6.7,1.0,0.2,3.3
Lauri Markkanen,23.0,35.1,27.6,9.2,19.7,0.469,6.8,6.1,0.898,3.0,6.7,2.0,0.8,0.4,1.3
Cade Cunningham,22.0,35.8,26.9,9.3,20.5,0.454,7.7,6.4,0.828,1.9,6.1,9.1,1.5,0.9,3.8
James Harden,24.0,35.5,26.6,7.7,17.5,0.44,8.5,7.6,0.897,3.5,5.3,8.2,1.3,0.4,4.0
Michael Porter Jr.,20.0,32.9,26.3,9.4,18.8,0.501,4.7,3.8,0.817,3.7,7.4,3.2,0.9,0.3,2.3
Victor Wembanyama,13.0,33.6,25.8,9.0,17.8,0.504,7.4,6.2,0.844,1.6,12.6,3.8,1.1,3.5,3.7
Deni Avdija,25.0,34.2,25.4,7.7,16.2,0.473,9.5,7.6,0.806,2.4,7.2,6.2,0.7,0.7,3.6
Kawhi Leonard,15.0,32.3,25.3,9.1,18.7,0.486,4.9,4.8,0.973,2.3,5.7,3.1,2.1,0.4,1.8
Devin Booker,22.0,34.7,25.0,8.1,17.8,0.457,8.0,7.0,0.874,1.8,4.3,6.7,0.9,0.4,3.7
Kevin Durant,20.0,35.4,24.8,8.6,17.3,0.499,6.5,5.8,0.892,1.8,4.6,3.9,1.0,0.6,3.0
Norman Powell,20.0,30.7,24.6,8.2,16.3,0.5,6.1,5.3,0.861,3.1,3.8,2.4,1.2,0.3,1.9
Jamal Murray,23.0,34.7,24.4,8.9,17.7,0.5,4.0,3.5,0.89,3.2,4.4,6.9,1.1,0.3,2.3
Pascal Siakam,24.0,34.2,24.3,8.9,18.6,0.48,6.9,4.7,0.685,1.8,7.0,4.0,1.3,0.5,2.1
De'Aaron Fox,17.0,32.9,23.9,8.4,17.1,0.488,5.5,4.6,0.84,2.5,3.6,6.2,1.4,0.3,3.2
Tyler Herro,6.0,31.8,23.2,8.3,16.5,0.505,4.3,4.0,0.923,2.5,5.0,2.3,1.0,0.5,1.2
Jalen Johnson,23.0,35.1,23.2,8.4,16.0,0.526,6.0,4.8,0.81,1.6,10.5,8.0,1.6,0.3,3.4
Julius Randle,25.0,33.8,23.0,7.7,15.4,0.499,7.1,5.9,0.836,1.8,7.2,6.0,0.9,0.2,2.7
Alperen Şengün,20.0,35.9,23.0,8.5,17.1,0.499,6.8,5.0,0.735,1.0,9.4,7.0,1.5,1.0,3.4
Keyonte George,24.0,33.4,22.9,7.2,16.1,0.444,7.0,6.4,0.911,2.2,4.0,6.8,0.9,0.3,3.5
Franz Wagner,24.0,33.4,22.7,7.8,15.9,0.49,6.8,5.6,0.823,1.5,6.1,3.7,1.2,0.4,1.8
Karl-Anthony Towns,24.0,33.2,22.4,7.3,15.4,0.474,6.7,5.9,0.882,1.9,11.9,3.2,0.8,0.8,2.4
Zion Williamson,10.0,30.9,22.1,7.4,14.5,0.51,10.1,7.3,0.723,0.0,5.6,4.0,1.6,0.5,3.1
Coby White,8.0,29.3,21.9,6.6,15.5,0.427,8.1,6.5,0.8,2.1,3.0,5.0,0.5,0.0,2.9
Dillon Brooks,19.0,31.1,21.7,8.0,18.1,0.443,4.2,3.5,0.825,2.3,3.1,1.8,1.4,0.1,2.2
Brandon Ingram,26.0,34.1,21.5,8.0,17.0,0.472,4.9,4.0,0.805,1.5,5.8,3.8,0.9,0.5,3.1
Miles Bridges,25.0,34.7,21.4,7.5,17.2,0.436,4.7,4.0,0.847,2.4,6.2,3.7,0.6,0.5,1.5
Cam Thomas,8.0,28.3,21.4,6.6,16.5,0.402,7.0,6.1,0.875,2.0,1.4,2.6,0.5,0.1,2.0
Kevin Porter Jr.,7.0,29.3,21.3,7.0,12.4,0.563,4.6,4.1,0.906,3.1,4.4,6.9,2.0,0.3,2.4
Trey Murphy III,24.0,35.5,21.2,7.4,15.3,0.486,4.0,3.6,0.906,2.7,6.4,3.6,1.8,0.2,2.1
Shaedon Sharpe,21.0,28.3,21.1,7.7,17.3,0.444,5.2,4.0,0.78,1.7,4.7,2.3,1.3,0.2,2.8
Nickeil Alexander-Walker,24.0,32.6,20.7,7.0,15.1,0.467,4.3,3.7,0.864,2.9,3.5,3.3,1.0,0.7,2.2
Zach LaVine,22.0,33.5,20.6,7.3,15.0,0.486,3.7,3.2,0.866,2.8,3.1,2.3,0.8,0.2,2.2
Paolo Banchero,16.0,31.6,20.5,6.5,14.5,0.448,8.3,6.4,0.78,1.1,7.9,3.8,0.6,0.8,2.6
Josh Giddey,22.0,34.1,20.5,7.1,14.9,0.48,6.0,4.5,0.748,1.8,9.4,9.0,1.0,0.5,3.6
Bennedict Mathurin,14.0,32.6,20.4,6.3,13.9,0.451,6.1,5.1,0.837,2.7,5.6,2.3,0.7,0.2,2.8
Joel Embiid,10.0,25.7,20.3,6.7,15.8,0.424,7.1,5.8,0.817,1.1,5.9,3.0,0.8,1.2,2.4
Anthony Davis,11.0,29.5,20.0,8.2,15.8,0.517,4.3,3.0,0.702,0.6,10.5,3.2,1.4,1.6,1.8
Scottie Barnes,26.0,33.9,19.7,7.6,15.1,0.501,3.8,3.2,0.847,1.4,7.8,5.3,1.4,1.6,2.4
LaMelo Ball,16.0,28.9,19.4,6.7,17.3,0.386,4.1,3.6,0.877,2.4,6.0,8.5,1.1,0.2,3.3
RJ Barrett,17.0,30.9,19.4,7.1,13.9,0.506,4.7,3.4,0.725,1.8,4.8,3.8,0.8,0.2,1.5
Jimmy Butler,22.0,31.0,19.3,6.0,11.5,0.52,7.6,6.5,0.845,0.9,5.8,5.0,1.5,0.2,1.4
Jerami Grant,24.0,29.8,19.3,5.7,13.3,0.431,6.5,5.6,0.86,2.3,3.9,2.6,0.8,0.6,2.1
Bam Adebayo,19.0,30.8,19.2,6.9,14.4,0.478,4.6,3.7,0.795,1.7,8.9,2.5,1.0,0.9,1.7
Kristaps Porziņģis,13.0,25.9,19.2,6.4,12.8,0.497,5.3,4.5,0.855,1.8,5.6,3.1,0.5,1.6,0.9
Evan Mobley,25.0,34.2,19.1,7.0,14.1,0.496,5.6,3.6,0.64,1.5,9.3,4.1,1.0,1.6,2.2
Alex Sarr,16.0,29.7,19.1,7.8,15.1,0.515,3.8,2.4,0.639,1.1,8.6,3.3,0.8,2.0,2.1
Desmond Bane,26.0,33.4,19.0,6.8,15.3,0.446,3.7,3.5,0.938,1.8,4.5,4.6,0.8,0.3,2.1
CJ McCollum,23.0,30.3,19.0,6.7,15.2,0.443,3.2,2.5,0.781,3.0,3.1,3.5,0.7,0.3,1.6
Aaron Gordon,13.0,28.3,18.8,6.3,11.8,0.532,4.6,4.0,0.867,2.2,5.9,1.3,0.8,0.2,1.4
Chet Holmgren,22.0,28.8,18.7,7.0,12.2,0.575,4.1,3.2,0.789,1.5,8.0,1.6,0.6,1.5,2.0
Jalen Duren,22.0,29.0,18.6,6.8,10.5,0.652,6.6,5.0,0.747,0.0,11.3,1.8,0.8,1.0,2.5
Kon Knueppel,25.0,33.6,18.6,6.5,14.0,0.466,2.4,2.2,0.915,3.4,5.4,3.5,0.7,0.2,2.4
Stephon Castle,16.0,31.2,18.4,6.3,12.5,0.505,6.5,4.7,0.721,1.1,6.1,6.9,1.4,0.3,4.1
Ja Morant,13.0,28.5,18.2,5.9,16.5,0.358,5.8,5.4,0.921,0.9,3.5,7.8,0.9,0.2,3.8
Andrew Nembhard,17.0,31.3,17.9,5.9,13.6,0.433,5.1,4.4,0.851,1.8,2.3,6.6,0.9,0.2,2.4
Jordan Poole,8.0,29.8,17.9,5.4,14.8,0.364,4.4,4.3,0.971,2.9,1.6,3.4,0.4,0.4,2.0
Trae Young,5.0,27.8,17.8,5.2,14.0,0.371,7.8,6.4,0.821,1.0,2.0,7.8,0.8,0.2,2.0
DeMar DeRozan,25.0,32.6,17.7,6.4,12.9,0.5,4.5,4.0,0.894,0.8,3.1,3.4,1.3,0.2,1.0
Cooper Flagg,25.0,33.7,17.5,6.8,14.1,0.482,3.7,3.0,0.817,0.8,6.3,3.4,1.3,0.7,2.1
Amen Thompson,22.0,36.2,17.5,6.8,14.1,0.484,4.3,3.5,0.809,0.4,7.1,5.2,1.4,0.5,2.6
Jalen Williams,7.0,28.7,17.3,6.4,14.3,0.45,3.7,3.6,0.962,0.9,5.4,5.9,1.6,0.7,1.6
Ryan Rollins,26.0,32.1,17.2,6.7,14.0,0.474,2.1,1.7,0.782,2.3,4.1,6.0,1.7,0.3,2.7
Domantas Sabonis,11.0,33.2,17.2,6.7,13.2,0.51,4.6,3.4,0.725,0.4,12.3,3.7,1.2,0.2,2.5
Derrick White,24.0,33.0,17.2,6.0,15.3,0.389,2.7,2.3,0.844,3.0,4.0,5.2,1.4,1.3,1.8
Andrew Wiggins,22.0,32.9,16.9,6.6,13.6,0.487,2.6,1.8,0.702,1.8,4.9,2.9,1.0,1.1,1.8
Jaren Jackson Jr.,23.0,29.2,16.8,6.2,13.4,0.464,3.7,2.9,0.767,1.5,5.0,1.9,0.8,1.0,2.0
Kelly Oubre Jr.,12.0,34.8,16.8,6.2,12.4,0.497,3.2,2.5,0.789,1.9,5.1,1.3,1.1,0.8,1.5
Payton Pritchard,25.0,32.3,16.8,6.2,14.0,0.443,2.0,1.7,0.86,2.7,4.3,5.0,0.7,0.1,1.2
Jrue Holiday,12.0,33.4,16.7,6.2,13.8,0.446,2.1,1.8,0.84,2.6,5.3,8.3,1.6,0.3,2.9
Brandon Miller,9.0,27.0,16.6,5.8,15.8,0.366,3.3,2.8,0.833,2.2,2.8,3.2,0.8,1.2,2.3
Ivica Zubac,25.0,32.8,16.6,7.3,11.8,0.615,2.9,2.0,0.699,0.0,11.4,2.6,0.5,1.0,1.9
Grayson Allen,17.0,30.8,16.5,5.6,13.0,0.434,2.4,1.9,0.78,3.4,2.8,3.9,1.6,0.2,1.7
LeBron James,8.0,33.5,16.5,6.5,13.9,0.468,3.5,2.1,0.607,1.4,6.0,7.6,0.6,0.6,2.0
Immanuel Quickley,25.0,32.2,16.5,6.0,12.8,0.47,2.6,1.9,0.75,2.5,4.2,6.2,1.2,0.0,1.8
Mikal Bridges,25.0,34.8,16.4,6.5,12.3,0.526,1.5,1.2,0.816,2.2,4.6,4.2,1.9,1.1,1.0
Quentin Grimes,23.0,33.2,16.3,5.2,11.7,0.448,4.0,3.5,0.86,2.3,4.3,4.3,0.9,0.4,2.6
OG Anunoby,16.0,31.3,16.2,5.9,12.1,0.487,2.4,1.9,0.795,2.5,5.4,2.0,1.9,0.7,1.9
