,PLAYER,G,MPG,PTS,FGA,FG%,FTA,FT%,3PM,REB,AST,STL,BLK,TO
0,Victor Wembanyama,72,33.5,27.3,19.52,0.49,5.93,0.83,3.39,11.78,4.38,1.27,3.85,3.12
1,Nikola Jokić,72,35.4,27.8,17.97,0.58,6.34,0.81,1.98,11.72,10.36,1.72,0.7,3.17
2,Shai Gilgeous-Alexander,74,32.5,32.1,21.21,0.51,9.12,0.9,2.05,4.82,6.52,1.59,1.0,2.26
3,Luka Dončić,72,35.4,30.6,21.13,0.48,8.69,0.79,3.73,7.87,8.64,1.87,0.45,3.76
4,Anthony Davis,64,33.2,24.0,17.52,0.5,6.96,0.78,0.97,9.73,4.31,1.07,2.25,2.76
5,Stephen Curry,65,32.6,25.2,17.92,0.46,4.44,0.94,4.56,4.54,5.95,1.0,0.4,2.74
6,Kevin Durant,65,26.1,26.0,18.03,0.52,5.07,0.87,2.96,5.3,4.59,0.83,0.91,3.01
7,Karl-Anthony Towns,71,33.1,23.5,16.14,0.53,5.37,0.84,2.0,10.58,2.95,0.96,0.69,2.67
8,Cade Cunningham,75,35.1,27.5,20.94,0.48,5.78,0.85,2.34,5.7,9.34,1.08,0.73,4.17
9,Evan Mobley,74,31.6,19.6,13.33,0.55,4.58,0.73,1.61,9.76,3.66,0.89,1.77,2.11
10,Devin Booker,73,35.4,29.1,21.12,0.47,6.89,0.88,2.97,4.78,8.0,0.88,0.3,3.85
11,Donovan Mitchell,69,31.4,26.1,18.77,0.46,6.24,0.86,3.34,4.63,5.55,1.26,0.27,2.32
12,Anthony Edwards,79,36.5,28.5,20.54,0.45,6.89,0.84,4.28,5.51,4.62,1.13,0.66,3.24
13,Jalen Williams,71,32.4,23.3,17.33,0.49,5.18,0.81,1.95,5.38,5.43,1.66,0.69,2.28
14,Tyrese Maxey,71,38.7,25.7,20.23,0.43,5.43,0.88,3.36,3.35,6.32,1.62,0.39,2.43
15,James Harden,74,34.6,21.2,14.74,0.42,6.72,0.88,2.99,5.53,8.1,1.34,0.7,3.79
16,Joel Embiid,32,27.4,22.4,14.23,0.47,8.52,0.88,1.37,7.99,4.24,0.72,1.01,3.09
17,Kawhi Leonard,52,32.4,21.9,16.68,0.5,3.59,0.85,2.09,6.05,3.12,1.59,0.63,1.81
18,Amen Thompson,72,35.5,16.4,11.28,0.57,4.4,0.68,0.53,8.64,5.54,1.7,1.45,2.03
19,Jimmy Butler III,66,33.4,16.5,10.26,0.51,6.14,0.87,0.72,5.29,5.75,1.59,0.27,1.41
