,PLAYER,POS,TEAM,GP,MPG,PTS,FG%,FT%,3PM,REB,AST,STL,BLK,TO
0,Shai Gilgeous-Alexander,PG,OKC,76.0,34.9,32.4,0.52,0.893,1.8,5.3,6.3,1.8,0.9,2.5
1,Giannis Antetokounmpo,"PF,C",MIL,74.0,35.4,32.2,0.586,0.638,0.4,11.6,6.6,1.0,1.0,3.5
2,Luka Doncic,"PG,SG",LAL,74.0,36.4,29.7,0.478,0.774,3.1,8.5,8.5,1.5,0.5,3.9
3,Nikola Jokic,C,DEN,75.0,36.1,27.6,0.575,0.807,1.6,12.3,9.6,1.6,0.7,3.2
4,Anthony Edwards,"PG,SF,SG",MIN,78.0,36.8,27.3,0.45,0.822,3.6,5.9,5.1,1.3,0.7,3.2
5,Devin Booker,"PG,SG",PHO,75.0,37.0,26.5,0.469,0.886,2.3,4.1,6.9,0.9,0.3,2.8
6,Joel Embiid,C,PHI,59.0,31.3,26.3,0.5,0.873,1.1,8.4,4.1,0.9,1.2,3.1
7,Jaylen Brown,"SG,SF",BOS,75.0,35.7,26.0,0.478,0.738,2.3,6.8,4.5,1.4,0.6,3.0
8,Jalen Brunson,PG,NYK,74.0,35.6,25.7,0.484,0.828,2.3,3.1,6.9,0.9,0.2,2.4
9,Donovan Mitchell,"PG,SG",CLE,75.0,33.4,25.6,0.455,0.836,3.5,4.6,5.2,1.5,0.3,2.4
10,Cade Cunningham,"PG,SG",DET,74.0,35.4,25.4,0.463,0.85,2.1,5.8,8.5,1.0,0.6,4.2
11,Stephen Curry,PG,GSW,74.0,33.0,25.0,0.451,0.925,4.4,4.5,5.5,1.0,0.4,2.8
12,Trae Young,PG,ATL,76.0,36.0,24.9,0.418,0.873,2.9,3.1,11.1,1.3,0.2,4.6
13,Ja Morant,PG,MEM,72.0,33.1,24.8,0.455,0.785,1.7,5.3,8.1,1.2,0.3,3.6
14,Tyrese Maxey,"PG,SG",PHI,74.0,37.2,24.7,0.451,0.873,3.0,3.2,5.4,1.4,0.3,2.0
15,Kevin Durant,"SF,PF",HOU,72.0,33.9,24.7,0.514,0.859,2.1,5.9,4.0,0.8,1.0,2.7
16,LeBron James,"SF,PF",LAL,70.0,35.3,24.4,0.524,0.772,2.1,7.5,7.7,1.0,0.6,3.5
17,Anthony Davis,"PF,C",DAL,70.0,35.2,24.4,0.54,0.793,0.5,11.9,3.4,1.2,2.2,2.1
18,LaMelo Ball,"PG,SG",CHA,70.0,33.9,24.4,0.408,0.847,3.9,5.0,7.5,1.2,0.3,3.6
19,Victor Wembanyama,C,SAS,74.0,33.3,23.9,0.467,0.827,2.4,10.5,3.8,1.2,3.4,3.4
20,Kyrie Irving,"PG,SG",DAL,37.0,35.5,23.8,0.484,0.907,2.6,4.5,4.7,1.2,0.5,2.0
21,Zion Williamson,"PF,SF",NOR,68.0,32.1,23.5,0.572,0.686,0.1,6.2,5.0,1.2,0.7,3.0
22,Paolo Banchero,"C,PF,SF",ORL,74.0,35.1,23.4,0.446,0.729,1.6,7.5,4.8,0.9,0.7,3.0
23,De'Aaron Fox,"PG,SG",SAS,72.0,35.1,22.8,0.465,0.79,1.9,4.2,5.8,1.5,0.4,2.6
24,Pascal Siakam,"C,PF,SF",IND,77.0,35.2,22.7,0.514,0.74,1.5,7.5,4.7,0.9,0.5,1.8
25,DeMar DeRozan,"PF,SF",SAC,77.0,36.6,22.6,0.48,0.859,1.0,4.1,4.7,1.0,0.5,1.6
26,Franz Wagner,"PF,SF",ORL,75.0,34.7,22.5,0.468,0.859,1.6,5.4,4.4,1.2,0.4,2.2
27,Karl-Anthony Towns,"PF,C",NYK,75.0,34.2,22.5,0.512,0.842,2.0,10.9,3.0,0.9,0.6,2.5
28,Tyler Herro,"PG,SG",MIA,63.0,35.1,22.4,0.464,0.885,3.2,5.2,5.5,0.9,0.2,2.4
29,Kawhi Leonard,"PF,SF",LAC,63.0,33.0,22.3,0.516,0.842,2.1,5.9,3.4,1.6,0.5,1.9
30,Anfernee Simons,"PG,SG",BOS,74.0,34.0,22.0,0.434,0.902,3.8,3.4,5.7,0.9,0.2,2.2
31,Jaren Jackson Jr.,"PF,C",MEM,74.0,31.4,21.7,0.481,0.794,1.8,6.2,1.9,1.2,1.7,2.1
32,Zach LaVine,"PG,SF,SG",SAC,73.0,34.5,21.6,0.498,0.835,2.8,4.2,3.8,0.8,0.2,2.4
33,Cam Thomas,"PG,SF,SG",BKN,71.0,30.7,21.5,0.43,0.871,2.1,3.1,3.5,0.7,0.2,2.0
34,Brandon Ingram,"SG,SF,PF",TOR,70.0,33.3,21.2,0.474,0.835,1.6,5.2,5.5,0.8,0.6,3.1
35,Jamal Murray,"PG,SG",DEN,72.0,35.1,21.2,0.466,0.875,2.5,4.0,6.1,1.2,0.5,2.1
36,Julius Randle,"C,PF",MIN,74.0,33.8,21.1,0.475,0.788,1.9,7.9,5.1,0.7,0.3,3.1
37,Alperen Sengun,C,HOU,76.0,33.6,21.0,0.516,0.697,0.4,10.5,5.5,1.1,0.8,2.7
38,Jalen Green,"PG,SG",PHO,79.0,33.9,20.9,0.426,0.804,2.8,4.5,4.0,0.8,0.3,2.4
39,Lauri Markkanen,"SF,PF",UTH,73.0,32.9,20.7,0.451,0.879,2.9,6.7,1.7,0.7,0.4,1.5
40,Jalen Williams,"C,PF,SF,SG",OKC,75.0,32.7,20.4,0.5,0.796,1.6,5.2,4.8,1.5,0.6,2.0
41,James Harden,"PG,SG",LAC,76.0,34.1,20.3,0.426,0.872,2.8,5.3,8.5,1.3,0.6,3.7
42,Miles Bridges,"SF,PF",CHA,74.0,34.1,20.2,0.437,0.858,2.3,7.2,3.6,0.7,0.6,2.1
43,Darius Garland,PG,CLE,69.0,32.5,20.2,0.465,0.867,2.7,2.8,6.9,1.2,0.1,2.7
44,RJ Barrett,"PF,SF,SG",TOR,73.0,32.5,19.7,0.464,0.676,1.6,5.7,4.4,0.7,0.3,2.6
45,Trey Murphy III,"PF,SF,SG",NOR,74.0,36.7,19.6,0.453,0.877,3.2,4.7,2.9,1.1,0.7,1.5
46,Desmond Bane,"SG,SF",ORL,74.0,33.1,19.3,0.476,0.891,2.3,5.6,4.8,1.2,0.4,2.4
47,Norman Powell,"SG,SF",MIA,74.0,31.5,19.3,0.477,0.809,2.7,3.1,2.0,1.1,0.2,1.6
48,Jordan Poole,"PG,SG",NOR,76.0,30.8,19.3,0.429,0.873,2.6,2.7,4.3,1.1,0.3,2.7
49,Paul George,"SG,SF,PF",PHI,67.0,33.4,19.2,0.448,0.869,2.7,5.1,4.0,1.7,0.5,2.4
50,Jimmy Butler III,"PF,SF,SG",GSW,72.0,33.0,19.2,0.504,0.843,0.8,5.5,5.5,1.5,0.4,1.5
51,Dejounte Murray,"PG,SG",NOR,41.0,35.0,19.0,0.44,0.817,2.0,5.3,6.4,1.6,0.3,2.7
52,Shaedon Sharpe,"SG,SF",POR,74.0,33.5,18.9,0.446,0.782,2.2,4.8,2.7,0.9,0.3,2.1
53,Bam Adebayo,"C,PF",MIA,77.0,35.0,18.8,0.501,0.773,0.7,9.8,4.4,1.3,0.8,2.3
54,Coby White,"PG,SG",CHI,76.0,32.2,18.6,0.446,0.88,2.7,3.7,4.3,0.8,0.2,2.1
55,Domantas Sabonis,"C,PF",SAC,76.0,34.8,18.6,0.587,0.735,0.6,13.2,6.5,0.8,0.5,3.0
