INDEX,PLAYER_NORM,G,MPG,PTS,FG%,FT%,3PM,REB,AST,STL,BLK,TO
10146.0,aaron gordon,1.0,39.0,50.0,0.81,1.0,10.0,8.0,2.0,0.0,1.0,2.0
10004.0,luka doncic,2.0,38.0,46.0,0.62,0.793,3.5,11.5,8.5,1.0,0.5,3.0
10002.0,shai gilgeous alexander,2.0,46.5,45.0,0.474,0.825,1.5,6.5,5.0,2.0,1.5,2.5
10014.0,tyrese maxey,1.0,41.0,40.0,0.542,0.875,7.0,2.0,6.0,2.0,1.0,1.0
10008.0,anthony edwards,2.0,37.0,36.0,0.532,0.824,4.0,5.5,3.0,0.0,1.0,3.0
10144.0,bennedict mathurin,1.0,45.0,36.0,0.474,0.882,3.0,11.0,1.0,0.0,0.0,4.0
10003.0,victor wembanyama,2.0,31.0,34.5,0.636,0.8,0.5,13.0,1.5,1.0,6.0,0.0
10005.0,giannis antetokounmpo,2.0,32.0,34.0,0.675,0.579,1.5,17.0,6.0,0.0,0.5,3.5
10148.0,vj edgecombe,1.0,42.0,34.0,0.5,0.5,5.0,7.0,3.0,1.0,0.0,2.0
10015.0,stephen curry,3.0,32.0,33.3,0.525,1.0,5.3,4.3,4.7,2.3,1.3,2.7
10018.0,donovan mitchell,2.0,35.5,33.0,0.55,0.824,4.0,2.0,5.0,2.5,0.5,3.0
10039.0,pascal siakam,1.0,44.0,32.0,0.48,0.417,3.0,15.0,4.0,1.0,0.0,1.0
10047.0,zach lavine,2.0,36.0,30.5,0.548,0.9,3.0,2.0,1.0,0.0,0.5,1.5
10013.0,kevin durant,2.0,42.0,30.0,0.529,0.875,1.5,6.0,2.0,1.5,0.5,2.0
10031.0,alperen sengun,2.0,43.5,28.0,0.405,0.81,2.5,9.0,7.0,2.5,0.5,3.5
10060.0,nikola vucevic,1.0,33.0,28.0,0.611,1.0,4.0,14.0,2.0,1.0,0.0,1.0
10113.0,kyshawn george,2.0,33.5,27.5,0.6,0.692,5.0,10.0,4.0,1.5,2.5,3.5
10023.0,jalen brunson,2.0,34.5,27.0,0.395,0.909,2.0,3.5,5.0,0.0,0.0,1.5
10063.0,zion williamson,2.0,35.0,27.0,0.462,0.643,0.0,9.5,6.0,4.0,0.0,3.5
10064.0,lauri markkanen,2.0,35.0,26.5,0.556,0.833,4.0,5.0,3.0,0.0,0.0,1.0
10139.0,jerami grant,2.0,27.5,25.5,0.667,0.813,3.0,2.5,1.5,0.5,0.5,1.5
10040.0,austin reaves,2.0,36.5,25.5,0.581,0.8,1.5,6.0,10.0,1.0,0.0,3.0
10034.0,franz wagner,2.0,35.5,25.5,0.559,0.75,2.0,5.0,4.0,1.5,0.0,3.0
10084.0,brandon miller,1.0,31.0,25.0,0.421,0.7,2.0,0.0,7.0,1.0,1.0,1.0
10022.0,jamal murray,1.0,40.0,25.0,0.55,1.0,1.0,3.0,10.0,3.0,0.0,3.0
10011.0,devin booker,2.0,32.0,24.5,0.517,0.773,1.0,4.0,5.0,0.5,0.0,4.5
10006.0,anthony davis,2.0,35.0,24.5,0.39,0.833,1.0,13.0,2.5,2.0,1.5,2.5
10038.0,jaylen brown,2.0,36.0,24.0,0.5,0.7,2.5,5.0,3.5,0.5,0.0,4.5
10101.0,cam thomas,2.0,29.5,24.0,0.424,0.895,1.5,1.5,5.5,0.0,0.5,2.5
10045.0,ja morant,2.0,25.0,23.5,0.472,0.917,1.0,2.5,4.5,0.5,0.0,2.5
10012.0,trae young,2.0,34.0,23.5,0.375,0.84,1.0,1.0,5.5,2.0,0.0,1.5
10057.0,deni avdija,2.0,31.0,23.0,0.5,0.8,2.0,6.0,3.5,0.0,0.5,2.5
10187.0,rj barrett,2.0,31.5,22.5,0.75,0.75,1.5,7.0,3.5,2.0,1.0,3.0
10010.0,james harden,2.0,29.0,22.5,0.542,0.923,3.5,4.5,9.0,0.0,0.5,3.0
10083.0,brandon ingram,2.0,32.0,22.5,0.472,0.8,1.5,7.5,3.0,1.0,0.5,4.5
10093.0,julius randle,2.0,33.5,22.5,0.552,0.667,3.5,8.0,5.5,1.0,0.5,1.5
10009.0,karl anthony towns,2.0,32.0,22.5,0.393,0.857,2.5,12.0,2.5,0.5,0.5,4.0
10035.0,jimmy butler,3.0,33.3,22.0,0.444,0.912,1.0,4.3,4.7,1.7,0.0,0.7
10007.0,cade cunningham,2.0,37.0,22.0,0.375,0.667,2.0,7.0,9.5,0.5,0.5,5.5
10189.0,dillon brooks,2.0,30.0,21.5,0.39,1.0,3.0,3.5,2.5,2.0,0.5,3.0
10030.0,chet holmgren,2.0,38.5,21.5,0.517,0.917,1.0,9.5,2.0,1.0,0.0,3.0
10059.0,michael porter,2.0,31.0,21.5,0.486,0.0,3.5,6.0,4.0,0.5,0.0,1.0
10129.0,norman powell,2.0,30.5,21.5,0.483,0.818,3.0,7.5,2.5,1.5,0.5,2.5
10105.0,matas buzelis,1.0,34.0,21.0,0.583,1.0,0.0,6.0,1.0,0.0,3.0,3.0
10001.0,nikola jokic,1.0,41.0,21.0,0.348,0.75,2.0,13.0,10.0,1.0,1.0,2.0
10375.0,ajay mitchell,2.0,26.5,21.0,0.484,1.0,1.5,2.5,3.0,0.5,0.5,0.5
10214.0,sam merrill,2.0,27.5,20.5,0.545,1.0,5.5,2.0,3.0,0.5,0.5,2.5
10017.0,lamelo ball,1.0,34.0,20.0,0.467,0.4,4.0,2.0,8.0,0.0,0.0,3.0
10044.0,kristaps porzingis,1.0,26.0,20.0,0.417,1.0,4.0,7.0,2.0,0.0,2.0,2.0
10117.0,obi toppin,1.0,40.0,20.0,0.444,1.0,0.0,5.0,3.0,2.0,0.0,1.0
10021.0,derrick white,2.0,34.5,20.0,0.316,0.9,3.5,3.5,4.0,1.0,1.0,0.5
10050.0,bam adebayo,2.0,31.5,19.5,0.375,0.909,2.5,8.5,3.0,0.5,0.0,2.5
10025.0,scottie barnes,2.0,34.0,19.5,0.517,0.875,1.0,5.5,6.0,2.0,1.0,2.0
10122.0,malik monk,2.0,24.0,19.5,0.519,1.0,4.5,1.0,2.5,1.0,1.0,0.5
10046.0,desmond bane,2.0,33.0,19.0,0.375,0.909,2.0,5.5,4.0,0.0,1.0,3.5
10188.0,stephon castle,2.0,31.0,19.0,0.542,0.5,2.0,6.5,6.0,1.5,0.5,7.5
