INDEX,PLAYER_NORM,G,MPG,PTS,REB,AST,STL,BLK,3PM,FG%,FT%,TO,RANK_SCORE,RANK
10003.0,victor wembanyama,4.0,32.3,31.0,13.8,2.8,1.5,4.8,1.0,0.603,0.8,1.5,16.693004930386085,1
10004.0,luka doncic,2.0,38.0,46.0,11.5,8.5,1.0,0.5,3.5,0.62,0.793,3.0,12.56345829707581,2
10001.0,nikola jokic,3.0,36.3,20.0,15.3,11.7,2.0,0.7,0.7,0.537,0.933,3.3,11.47550388701304,3
10014.0,tyrese maxey,3.0,41.7,37.0,4.0,7.7,1.0,0.7,5.0,0.461,0.867,1.3,11.400950400500117,4
10015.0,stephen curry,4.0,31.5,29.0,4.3,4.3,1.8,1.0,5.0,0.514,1.0,2.3,10.597663196499507,5
10017.0,lamelo ball,3.0,34.0,28.3,8.3,9.7,2.0,0.3,4.3,0.483,0.8,3.7,10.461508320769696,6
10005.0,giannis antetokounmpo,3.0,32.7,36.0,16.0,7.0,0.7,1.0,1.3,0.683,0.629,3.0,10.188149754183982,7
10061.0,walker kessler,3.0,31.3,16.7,9.7,3.3,1.7,2.7,1.0,0.85,0.765,3.3,9.484715636891329,8
10040.0,austin reaves,4.0,37.8,35.8,6.8,8.5,1.8,0.0,3.0,0.573,0.882,4.0,8.739339998227539,9
10020.0,evan mobley,4.0,33.8,18.3,8.8,4.8,1.8,2.0,1.8,0.434,0.741,2.5,8.255262424494934,10
10064.0,lauri markkanen,3.0,38.3,34.7,8.0,3.0,0.0,0.0,4.7,0.5,0.957,1.0,7.980332149311582,11
10006.0,anthony davis,4.0,35.8,25.0,11.8,2.8,1.8,1.5,0.8,0.521,0.742,2.3,7.9029748346129445,12
10113.0,kyshawn george,3.0,30.7,20.3,9.3,4.3,1.0,1.7,3.3,0.568,0.692,3.3,7.718145885690345,13
10002.0,shai gilgeous alexander,4.0,39.3,35.8,5.5,5.8,1.5,1.0,1.5,0.51,0.848,2.8,7.693212911115352,14
10148.0,vj edgecombe,3.0,40.3,25.0,5.7,6.0,1.7,0.7,2.7,0.5,0.75,2.0,7.652343192909204,15
10122.0,malik monk,3.0,24.3,18.0,1.0,2.3,1.3,1.3,4.0,0.528,1.0,0.7,7.595152349010835,16
10060.0,nikola vucevic,3.0,32.7,20.0,13.0,4.3,1.0,0.3,2.0,0.639,1.0,2.7,7.405875477345018,17
10129.0,norman powell,3.0,31.0,24.0,7.3,3.0,2.0,0.3,3.0,0.477,0.913,2.0,7.237778752705,18
10030.0,chet holmgren,4.0,34.3,23.0,10.3,1.8,1.3,1.3,2.5,0.569,0.857,3.0,7.182088253080179,19
10031.0,alperen sengun,3.0,39.0,25.7,8.0,6.7,2.0,0.3,2.3,0.453,0.846,3.3,7.1768462191484295,20
10039.0,pascal siakam,3.0,35.3,26.0,10.3,6.0,1.3,0.3,2.7,0.459,0.538,1.7,7.123474485091847,21
10096.0,mikal bridges,3.0,35.7,16.0,5.3,4.0,1.7,1.0,2.0,0.563,0.857,1.0,7.096917055879498,22
10022.0,jamal murray,3.0,36.3,30.3,5.0,6.0,1.3,0.0,3.0,0.53,0.923,2.3,7.044386431881746,23
