INDEX,PLAYER_NORM,G,MPG,PTS,REB,AST,STL,BLK,3PM,FG%,FT%,TO,RANK_SCORE,RANK
10003.0,victor wembanyama,4.0,32.3,31.0,13.8,2.8,1.5,4.8,1.0,0.603,0.8,1.5,17.342769591616285,1
10004.0,luka doncic,2.0,38.0,46.0,11.5,8.5,1.0,0.5,3.5,0.62,0.793,3.0,12.90409490397358,2
10001.0,nikola jokic,4.0,34.3,20.3,14.5,11.3,2.0,0.5,0.8,0.571,0.933,3.0,11.601479683939864,3
10014.0,tyrese maxey,4.0,43.0,37.5,3.8,8.3,1.0,0.8,4.5,0.455,0.87,2.0,11.079988610269796,4
10015.0,stephen curry,5.0,30.4,27.0,3.8,5.0,1.8,0.8,4.4,0.506,1.0,2.2,10.05179189757258,5
10005.0,giannis antetokounmpo,4.0,32.8,36.3,14.0,7.0,0.8,1.3,1.0,0.695,0.643,3.3,10.03582701870689,6
10064.0,lauri markkanen,4.0,38.3,34.0,7.3,2.8,0.8,0.8,4.0,0.506,0.914,1.0,9.802110157516253,7
10017.0,lamelo ball,4.0,32.5,26.3,8.3,9.5,1.8,0.3,4.3,0.447,0.8,4.0,9.641319703561102,8
10040.0,austin reaves,5.0,38.2,34.2,5.6,10.0,1.8,0.0,3.0,0.525,0.897,3.8,9.16179321552327,9
10002.0,shai gilgeous alexander,5.0,38.6,34.8,6.2,5.4,1.4,1.4,1.4,0.516,0.854,2.4,8.859888541637295,10
10061.0,walker kessler,4.0,31.3,17.0,10.3,3.5,1.5,2.3,1.5,0.75,0.7,3.3,8.751728459898072,11
10113.0,kyshawn george,4.0,33.0,20.3,9.3,5.0,1.3,1.5,3.5,0.537,0.6,2.8,8.47297099525026,12
10031.0,alperen sengun,4.0,38.0,23.8,8.0,7.3,2.0,0.8,2.0,0.492,0.794,3.0,8.435064803254738,13
10096.0,mikal bridges,4.0,36.5,18.0,6.8,4.5,1.5,0.8,2.3,0.542,0.917,0.8,8.387485001539105,14
10060.0,nikola vucevic,4.0,32.5,18.3,13.3,5.0,1.0,0.3,1.8,0.583,1.0,2.0,8.087050672450134,15
10020.0,evan mobley,5.0,33.8,18.4,9.2,4.6,1.6,2.0,1.8,0.417,0.719,2.6,7.994319467048122,16
10129.0,norman powell,3.0,31.0,24.0,7.3,3.0,2.0,0.3,3.0,0.477,0.913,2.0,7.5433712631119745,17
10030.0,chet holmgren,4.0,34.3,23.0,10.3,1.8,1.3,1.3,2.5,0.569,0.857,3.0,7.4271513021888005,18
